City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kudahuvadhoo,2.6708,72.8944,28.3,75,50,5.21
São Filipe,14.8961,-24.4956,22.9,83,86,4.67
Ambon City,-3.6954,128.1814,32.08,70,40,5.66
Mahibadhoo,3.7833,72.9667,28.48,73,89,8.07
Mpongwe,-13.5091,28.155,17.61,96,100,0.94
Cap Malheureux,-19.9842,57.6142,28.04,68,11,1.34
Banes,20.9625,-75.7186,24.34,82,12,4.93
Erzin,36.9559,36.2,8.4,88,96,1.02
Bentiu,9.2333,29.8333,21.42,31,86,2.45
Naberera,-4.2,36.9333,17.4,89,90,2.32
Kenai,60.5544,-151.2583,-6.95,100,90,1.54
Sedkyrkeshch,61.75,50.9167,-9.85,92,90,3.0
Cayenne,4.9333,-52.3333,27.27,86,20,2.68
Digha,21.6833,87.55,19.98,53,81,4.61
Belmonte,-15.8631,-38.8828,25.28,88,96,3.48
Lata,40.1629,-8.3327,7.81,73,18,2.28
Newala,-10.9431,39.2787,19.97,89,84,1.73
Glendive,47.1053,-104.7125,-17.21,74,90,2.06
Charlestown,-32.95,151.6667,35.87,47,99,2.68
Krasnosel'kup,65.7,82.4667,-38.47,99,21,2.99
Kieta,-6.2167,155.6333,27.92,86,100,4.08
Harrisonburg,38.4496,-78.8689,13.3,77,90,0.0
Aquitania,5.5197,-72.8875,8.3,94,90,0.28
Quatre Cocos,-20.2078,57.7625,27.83,74,13,2.11
Kaeo,-35.1,173.7833,24.07,44,1,4.36
Lander,42.833,-108.7307,-11.05,85,1,2.57
Bridgewater,44.3835,-64.5155,5.82,61,8,5.81
Fethiye,36.6217,29.1164,5.93,57,38,1.27
Naryan-Mar,67.6713,53.087,-26.49,99,25,3.07
Kortkeros,61.8106,51.5806,-10.0,99,94,1.42
Arrondissement de Bergerac,44.8333,0.5,6.04,100,0,1.54
Jurm,36.8648,70.8342,-5.74,38,1,3.51
Rabo de Peixe,37.8,-25.5833,12.93,90,20,2.57
Vila,42.0304,-8.1588,5.52,62,16,1.55
Sirte,31.2089,16.5887,14.79,72,65,5.1
Ylivieska,64.0833,24.55,2.4,97,99,3.16
Olafsvik,64.8945,-23.7142,4.56,83,100,2.31
Biak,-0.9131,122.8766,29.35,68,39,1.48
Matagami,49.7502,-77.6328,-11.94,85,90,6.69
Tafresh,34.692,50.013,4.66,69,90,1.17
Christchurch,-43.5333,172.6333,20.26,54,50,3.13
Farmington,36.7281,-108.2187,-1.28,67,1,2.57
Den Helder,52.9599,4.7593,7.82,100,90,2.06
Alyangula,-13.8483,136.4192,34.93,52,40,5.14
Uarini,-2.99,-65.1083,23.91,98,100,0.62
Shenzhen,22.5455,114.0683,18.97,76,68,1.34
Saryozek,44.3583,77.9753,0.17,33,67,2.54
Daye,30.0833,114.95,7.28,37,11,2.02
Gazojak,41.1875,61.4036,3.48,35,30,4.23
Juneau,58.3019,-134.4197,-1.97,95,75,0.0
Mayna,54.1135,47.6231,-2.33,99,100,1.49
Caçapava do Sul,-30.5122,-53.4914,15.5,92,34,3.72
Verkhnyaya Inta,65.9811,60.3094,-21.05,83,61,3.78
Myanaung,18.2833,95.3167,22.13,53,3,5.07
Dingle,10.9995,122.6711,29.95,67,100,0.98
Aberdeen,57.1437,-2.0981,4.0,100,90,1.54
Yangi Marg`ilon,40.4272,71.7189,-4.32,74,4,3.09
Mehamn,71.0357,27.8492,1.48,98,100,4.43
Itarema,-2.9248,-39.9167,26.93,81,64,7.47
Ţahţā,26.7693,31.5021,11.36,58,9,3.89
Walvis Bay,-22.9575,14.5053,17.83,67,0,1.54
Sinnamary,5.3833,-52.95,25.41,88,56,3.08
Whitehorse,60.7161,-135.0538,-24.57,77,20,1.54
Meulaboh,4.1363,96.1285,23.75,92,100,1.69
Carutapera,-1.195,-46.02,26.2,79,100,3.11
Olinda,-8.0089,-34.8553,27.85,74,40,4.12
Roald,62.5833,6.1333,9.63,93,90,8.23
La Ronge,55.1001,-105.2842,-27.86,76,1,0.0
Dobšice,48.8483,16.0822,4.1,81,11,5.15
Joutseno,61.118,28.5076,-1.23,95,100,2.31
Waingapu,-9.6567,120.2641,31.84,63,50,3.14
Los Llanos de Aridane,28.6585,-17.9182,12.86,63,0,4.12
Fort Nelson,58.8053,-122.7002,-30.23,76,40,2.06
Tulun,54.5611,100.5792,-3.97,89,100,5.54
Laguna,38.421,-121.4238,7.36,92,1,2.57
Kupang,-10.1667,123.5833,32.32,74,40,3.09
Ishigaki,24.3448,124.1572,17.07,59,75,6.69
Humboldt,40.6665,-123.9178,0.28,92,57,1.71
Burgersdorp,-30.9977,26.3286,10.78,72,100,1.45
